pathway_name,distance,n
M00001,0.16739370708007292,4
M00002,0.28307501031293886,2
M00003,0.31258028235464785,1
M00009,0.21902522093078933,2
M00011,0.21854770264191253,2
M00014,0.11577894945728086,3
M00017,0.3426869262996029,1
M00019,0.43671451682418505,1
M00020,0.41805156016007194,1
M00027,0.43589517145957163,1
M00029,0.45964531636920597,1
M00032,0.14206177571063483,2
M00034,0.323176670570329,2
M00035,0.1377985286654618,4
M00036,0.1467581695305507,3
M00037,0.423405585956832,1
M00042,0.49323616170728074,1
M00044,0.5054526829183915,1
M00045,0.15470061757494344,2
M00047,0.46146310280272396,2
M00048,0.3940168914028285,1
M00049,0.3337215444621099,2
M00051,0.41558986540224974,1
M00055,0.5002988486892088,2
M00056,0.5055825864250412,3
M00057,0.5582139452757637,1
M00058,0.5260633870022934,1
M00059,0.06017825793919188,5
M00065,0.5717905750120487,1
M00066,0.6059272505696881,1
M00067,0.6362593541246409,1
M00068,0.670639352748443,1
M00069,0.5661822293907058,1
M00070,0.6762796573217876,1
M00071,0.5915400230329164,1
M00072,0.12550722527239408,2
M00075,0.14575000889759146,2
M00076,0.5408480530473874,1
M00077,0.5407657769190798,1
M00078,0.46487281261472874,1
M00082,0.4528666047921844,1
M00085,0.21369928862646095,2
M00086,0.3408941541332481,1
M00087,0.125665386144079,6
M00088,0.4335396684288396,1
M00089,0.19032530346985033,5
M00090,0.3343643844794976,2
M00091,0.4430360710759165,1
M00092,0.09166490892710945,3
M00093,0.1283942063677411,2
M00094,0.40049894084897547,2
M00095,0.44484747413780323,1
M00098,0.11829005091566892,3
M00099,0.40983888957409975,2
M00100,0.3045455102823616,1
M00101,0.14898077268539456,3
M00102,0.1479327711944083,3
M00104,0.38775558104394753,2
M00106,0.574115015855185,1
M00113,0.16940283649515075,3
M00114,0.43379319152066814,1
M00115,0.46649610000146685,1
M00119,0.43671451682418505,1
M00120,0.11200697749572694,4
M00122,0.11815406126736734,2
M00124,0.4733878389111148,1
M00126,0.4759269559401878,1
M00128,0.09762839531782395,3
M00129,0.13306746287651924,2
M00130,0.3572067219109019,2
M00135,0.40575312445494716,1
M00140,0.42154591244939543,1
M00141,0.3710367721287721,1
M00142,0.18771710938452899,9
M00143,0.4331637234170392,1
M00151,0.17022243326825917,5
M00152,0.15376379494247008,6
M00154,0.21502113410948906,7
M00160,0.31957963279699775,2
M00165,0.31076045668856245,1
M00170,0.4966614106045179,1
M00171,0.42046197046992617,1
M00307,0.43436105562426774,1
M00344,0.32715426286408,1
M00345,0.21045238169125846,2
M00346,0.389691575126768,1
M00366,0.3950935899314075,1
M00367,0.4158640054890224,1
M00368,0.34710069870296606,1
M00373,0.4017811335916634,1
M00374,0.43415631557893575,1
M00375,0.45106644357042525,1
M00415,0.4019324118183018,1
M00532,0.4414378361509013,1
M00549,0.14233102480313115,2
M00554,0.40160618842838924,1
M00570,0.45407491572056746,1
M00609,0.34710069870296606,1
M00621,0.37123347358664477,1
M00632,0.4088690505750679,1
M00740,0.3214057100605608,1
M00844,0.40853017480428444,1
M00849,0.44677095531617894,1
M00854,0.44347170434136657,1
M00855,0.36986764954590423,2
M00861,0.1562382624830524,3
M00872,0.47881352686159195,2
M00873,0.473750512152109,1
M00874,0.4124162539244884,1
M00882,0.4366986802836857,1
M00883,0.5292790374800401,1
M00885,0.4310300958648607,1
M00886,0.4310300958648607,1
M00892,0.13475297417432927,2
M00909,0.4176511543600922,1
M00912,0.4960615674414236,1
M00938,0.3587638146398865,1
M00953,0.34710069870296606,1
M00955,0.5187576013669077,1
M00957,0.4118716579482618,1
M00958,0.4256061786884349,2
M00959,0.4149616428257194,1
M00972,0.476031131119928,2
M00974,0.12883489837757361,2
M00975,0.4453995089224921,1
M00978,0.40391692715383853,1
M00995,0.44659631706403025,1
