pathway_name,distance,n
M00001,0.09157074599615365,183
M00002,0.09878341996096208,63
M00003,0.06592426959716828,93
M00004,0.06044246998702972,28
M00005,0.11069985650655849,41
M00006,0.37559070049115645,5
M00007,0.13531503514521898,22
M00009,0.17550950684470337,206
M00010,0.2254055642602676,99
M00011,0.13327690342232923,114
M00012,0.3583932810667794,84
M00013,0.07878581311787802,89
M00014,0.04556668786762279,142
M00015,0.11044886451710047,45
M00017,0.1582099332427811,30
M00019,0.12288249665111521,74
M00020,0.12708898680907862,20
M00027,0.09055217442754207,73
M00028,0.1872738923307456,25
M00029,0.07450455430943394,55
M00032,0.05544315407561415,162
M00034,0.23612333205916095,189
M00035,0.0433733476114862,159
M00036,0.08056824370904407,192
M00037,0.06483632309139467,119
M00038,0.05713863846207422,73
M00042,0.02806167517049052,84
M00043,0.1742413609985885,11
M00044,0.06538854499985892,59
M00045,0.07611001285233537,40
M00046,0.2347651720233251,19
M00047,0.1705857655586171,260
M00048,0.16722029682077572,79
M00049,0.043154771952438845,131
M00050,0.20765381848479217,162
M00051,0.06316352366559314,46
M00052,0.03542553074376202,106
M00053,0.12100700599049202,244
M00055,0.05386237083133796,63
M00056,0.06093811506135301,210
M00057,0.10681896507975003,64
M00058,0.07416023830146744,58
M00059,0.03602533756019158,155
M00065,0.04929947975958434,73
M00066,0.05668732586675657,54
M00067,0.12899209663997077,24
M00068,0.12377446183077222,69
M00069,0.06794958824922911,64
M00070,0.14530040238547046,64
M00071,0.13156742542869043,53
M00072,0.14426611083772325,112
M00073,0.05163501900253882,62
M00074,0.04983929484720183,53
M00075,0.03991976323399212,123
M00076,0.2303292217024245,93
M00077,0.15173820313266498,135
M00078,0.05316792021594959,95
M00079,0.05207114403954358,81
M00082,0.05686713903072153,87
M00083,0.12347610647682311,42
M00085,0.03435158046550542,82
M00086,0.11996653925288477,38
M00087,0.09285440651986458,104
M00088,0.0779909709451578,82
M00089,0.03212810715402666,181
M00090,0.19279040598468558,31
M00091,0.056990815962396524,25
M00092,0.06523032647454972,50
M00093,0.06037686699537811,31
M00094,0.0858769347457024,122
M00095,0.09681705996572755,87
M00096,0.20226134764003575,4
M00098,0.06475567660801365,263
M00099,0.09674817807622547,143
M00100,0.06256386375576685,72
M00101,0.0880388272189793,154
M00102,0.12072769089121738,121
M00103,0.05206681668135444,42
M00104,0.022268099527028507,161
M00106,0.0685887549279218,53
M00107,0.09081688699687535,49
M00108,0.05516550197988676,64
M00109,0.10965452656026028,107
M00110,0.039191033255219734,64
M00113,0.12329388121986296,32
M00114,0.07779325112380364,28
M00115,0.07524189131335932,56
M00118,0.11327591379010171,10
M00119,0.12288249665111521,74
M00120,0.07664873998617223,126
M00121,0.10909632612643158,70
M00122,0.08185972378934633,38
M00124,0.08382295594811214,10
M00126,0.2752761072268562,107
M00128,0.16014017106904002,63
M00129,0.050836453189345626,125
M00130,0.031585176692997756,181
M00131,0.18753394634841464,35
M00132,0.05239635250344519,44
M00133,0.08516620466666781,40
M00134,0.3169939417809473,16
M00135,0.06379142443131722,44
M00140,0.0731612966445629,32
M00141,0.05998468776849528,51
M00142,0.09703676284939529,19
M00143,0.1498514268835102,26
M00146,0.08951069776573127,114
M00147,0.09103746673923291,44
