pathway_name,distance,n
M00001,0.06250732289058024,103
M00002,0.03668139287175621,61
M00003,0.03737237550505023,89
M00004,0.0972912102315276,52
M00005,0.08059423235947638,41
M00006,0.07632403020001856,23
M00007,0.17675591221467427,32
M00008,0.13497241041520303,17
M00009,0.11242094605858968,121
M00010,0.09578381813318786,43
M00011,0.10420059163789233,88
M00012,0.1016703322698872,45
M00013,0.08051448561516558,123
M00014,0.027995774947238605,111
M00015,0.06657171864234344,46
M00017,0.08757289866037477,81
M00019,0.05449963915111112,33
M00020,0.08563481185836794,36
M00027,0.06485159853764189,117
M00028,0.15828663296508982,13
M00029,0.08358428288001149,74
M00032,0.05270662956452213,118
M00034,0.07014721888556825,172
M00035,0.035632013190046496,163
M00036,0.050713054755475995,182
M00037,0.06299013257042112,141
M00038,0.054033661482681045,61
M00042,0.10422144746774216,120
M00043,0.3369570195931347,1
M00044,0.18205506097495885,66
M00045,0.04688401718947246,27
M00046,0.1641577080466447,17
M00047,0.11577726671696462,142
M00048,0.0918092966546501,83
M00049,0.047294266275672035,99
M00050,0.11838144320011822,74
M00051,0.09595253485925342,37
M00052,0.04290790821733054,55
M00053,0.054696754392135234,78
M00055,0.054441933378034026,86
M00056,0.06309265077027432,115
M00057,0.16879836196621129,34
M00058,0.34936568002450197,47
M00059,0.09109150669864312,96
M00065,0.20758665136298665,48
M00066,0.18774268206251857,25
M00067,0.19322488238037633,25
M00068,0.33120488703072304,36
M00069,0.16628309386212245,54
M00070,0.4756240208528679,27
M00071,0.4280427213297683,28
M00072,0.09592740329876874,76
M00073,0.03824594547304637,54
M00074,0.07021387180349761,41
M00075,0.07316109355317095,70
M00076,0.09130054620911737,68
M00077,0.10618559592349597,82
M00078,0.09492609780015893,81
M00079,0.03117635416915561,44
M00082,0.11508017825188906,82
M00083,0.07632012824865342,52
M00085,0.08270407851853909,84
M00086,0.09078599545679658,41
M00087,0.13148930492411154,104
M00088,0.11391163598333937,127
M00089,0.02980190657503859,166
M00090,0.0845645552449226,40
M00091,0.11453527417546182,77
M00092,0.043958815796781694,59
M00093,0.08851328052930285,36
M00094,0.07438109644325006,91
