pathway_name,distance,n
M00001,0.19548314780275966,5
M00002,0.23314451341709236,2
M00003,0.16400926247656025,4
M00004,0.33741873332995437,1
M00005,0.271075979465401,1
M00007,0.32462266796854744,1
M00009,0.26131747418110746,5
M00010,0.24445514730978557,2
M00011,0.2740756994032819,3
M00012,0.5722423858310568,1
M00013,0.2390281645060864,3
M00014,0.15454583177821488,6
M00015,0.4022797876287897,1
M00017,0.5832099332427809,2
M00019,0.11214411373981525,4
M00020,0.4648134584421622,1
M00027,0.3382580436652969,1
M00029,0.31093972823358745,2
M00032,0.21413868999395802,7
M00034,0.11764155816527211,5
M00035,0.1818861813995339,5
M00036,0.13024237788721113,6
M00037,0.3915500724932218,2
M00038,0.1949865889990665,5
M00042,0.10781643871047551,4
M00044,0.4896601377588478,1
M00045,0.2995236313544313,2
M00046,0.3125064726862528,1
M00047,0.15291032306687308,17
M00048,0.21893616065698887,2
M00049,0.2615302664105947,3
M00050,0.1459849595280016,4
M00051,0.5451712028797638,1
M00052,0.14466566650885684,2
M00053,0.14851778515289174,13
M00055,0.27949438628929846,5
M00056,0.13129049456789108,5
M00058,0.5113717494494002,1
M00059,0.35336133314775203,3
M00065,0.5562054430495478,1
M00068,0.652197479840885,1
M00069,0.2964766862189657,3
M00070,0.658390255085995,1
M00071,0.5748077446026058,1
M00072,0.3344636852377447,3
M00075,0.13540256996515448,2
M00076,0.10756176610138679,4
M00077,0.14460836134385718,6
M00078,0.32103291215323476,2
M00079,0.3313281989377917,2
M00082,0.1985171455894931,3
M00083,0.32652832383568176,1
M00085,0.16349122940331992,3
M00087,0.2361090141874861,4
M00088,0.3908119655151963,2
M00089,0.04449483283445562,10
M00090,0.26681212032201096,3
M00092,0.289097668155054,3
M00094,0.08302506582765451,4
M00095,0.32520258746277503,3
M00098,0.07760182959327067,9
M00099,0.13795600282894677,5
M00100,0.16885562739071683,3
M00101,0.16661584266159432,4
M00102,0.3072066002129417,3
M00104,0.5120673533458024,1
M00109,0.5753230600704073,1
M00110,0.5923070070809646,1
M00113,0.39931084752573975,2
M00114,0.4651457398342052,1
M00115,0.10986881581130027,3
M00119,0.11214411373981525,4
M00120,0.36385075296752123,1
M00121,0.2396345062017182,2
M00122,0.4898945953076479,2
M00124,0.41073917213820055,1
M00126,0.10397873664460106,3
M00128,0.40425075616088124,1
M00129,0.35110662001739296,3
M00130,0.06596760326149621,6
M00132,0.4228885044770828,1
M00133,0.42376521934516104,1
M00134,0.345806352439625,1
M00135,0.13304147459264518,2
M00141,0.36932992931332287,2
M00146,0.25366960810889794,2
M00147,0.2033173248747547,1
M00148,0.23580526806698565,2
M00152,0.2769064737573879,2
M00154,0.41721321718360865,1
M00160,0.4829704679777188,1
M00165,0.16039404875796917,3
M00169,0.3510467199198673,1
M00170,0.12910752714601606,3
M00171,0.13169719850277906,4
M00172,0.3510467199198673,1
M00307,0.1424420231263709,3
M00308,0.18272756050460065,2
M00338,0.37116728326939225,1
M00344,0.2894998618073723,2
M00345,0.24470951270344804,2
M00346,0.09410403238522953,3
M00357,0.38289998587066104,1
M00368,0.1586545554989526,2
M00373,0.36066853178117236,2
M00374,0.3906506013832845,2
M00375,0.40716102016471434,2
M00415,0.268054753810087,2
M00532,0.09828536364712909,3
M00549,0.2713235918841124,3
M00552,0.18272756050460065,2
M00554,0.3263758415546574,1
M00555,0.3396705371191689,1
M00570,0.0891199882682379,5
M00572,0.32106321510424524,1
M00609,0.1586545554989526,2
M00632,0.3319007306479798,1
M00793,0.08574946087168045,4
M00840,0.428226030231769,1
M00844,0.26418978527613324,2
M00845,0.24391501993972553,2
