pathway_name,distance,n
M00001,0.10893534823068973,1994
M00002,0.10023729411793725,1220
M00003,0.10062304923825523,1298
M00004,0.03304533668995969,611
M00005,0.20881973872408813,742
M00006,0.03325052398419583,206
M00007,0.05809826991043498,405
M00008,0.07151807450063066,100
M00009,0.2532962384368957,3191
M00010,0.31995628057221825,1778
M00011,0.17725146174138232,1609
M00012,0.3859499191210682,1672
M00013,0.061896178823042686,910
M00014,0.0738656793936167,3500
M00015,0.08552714253916968,804
M00017,0.19083121760838867,503
M00019,0.13688351935318568,570
M00020,0.06073660232068478,456
M00027,0.10312655805573426,996
M00028,0.24657336178037928,191
M00029,0.04721990437443374,885
M00032,0.11078158842478673,1449
M00034,0.2627133427323638,3076
M00035,0.13217947903340443,2069
M00036,0.1667183897230956,1595
M00037,0.14350419346860646,1672
M00038,0.11875439725989223,1190
M00042,0.06966277784774541,1298
M00043,0.0540917829132428,307
M00044,0.028907354480235608,1237
M00045,0.11356519814344024,518
M00046,0.06834551060434539,667
M00047,0.0336797704852716,1144
M00048,0.15460383441595063,1093
M00049,0.11855561495305321,3144
M00050,0.271416491338422,3534
M00051,0.07195306540732156,530
M00052,0.10255609138541208,2452
M00053,0.12914187249803313,2707
M00055,0.011054953936891501,1366
M00056,0.01891775040313861,3141
M00057,0.04508010275148658,958
M00058,0.03278578341509656,713
M00059,0.0539246533580011,1885
M00065,0.024442624794320453,1472
M00066,0.045446548509341184,655
M00067,0.053186110662792205,343
M00068,0.1706010656610585,1181
M00069,0.06434113143868633,1404
M00070,0.1380408330770343,764
M00071,0.07053906223105941,435
M00072,0.07171853415214123,1596
M00073,0.11275908094074338,1362
M00074,0.11200366377405438,1204
M00075,0.045537495945586225,1856
M00076,0.07169057521384567,1327
M00077,0.0867458524257646,1863
M00078,0.02257930995369639,1414
M00079,0.09642892239552736,1319
M00082,0.0265017557446064,911
M00083,0.029241485271310538,825
M00085,0.09061959637676523,807
M00086,0.05361357352069665,706
M00087,0.06899062425317644,1135
M00088,0.09319495446164165,977
M00089,0.05255325741277737,3338
M00090,0.05208714655992387,677
M00091,0.1337074698370723,352
M00092,0.09825156912445991,897
M00093,0.13629284874957745,459
M00094,0.11070339241515423,1979
M00095,0.10657434151912547,1178
M00096,0.2170158766472435,104
M00098,0.15092411087911192,4408
M00099,0.08575917746061242,2629
M00100,0.027909980606300632,979
M00101,0.0529617397287169,2288
M00102,0.061211598174232724,1784
M00103,0.07552667772956681,409
M00104,0.0465360345558002,1856
M00106,0.022206780817514014,760
M00107,0.07296732444293087,933
M00108,0.07915635453748134,926
M00109,0.04936617889017658,1536
M00110,0.01336772144752552,777
M00113,0.051853574941115387,577
M00114,0.1723697881161056,422
M00115,0.1331454134569862,1259
M00118,0.12208462201081194,395
M00119,0.13688351935318568,570
M00120,0.1286033481568132,2291
M00121,0.18521308423151425,1028
M00122,0.15736011254902713,687
M00124,0.13534532434612545,267
M00126,0.23346355880927352,2078
M00128,0.036723838384338896,690
M00129,0.09506525505111471,2806
M00130,0.039030624685401714,3445
M00131,0.06230017147207801,622
M00132,0.022778848263148795,948
M00133,0.20590850657954235,347
M00134,0.1743102683115596,240
M00135,0.10687551279650652,808
M00140,0.1705115915279811,388
M00141,0.17343421067088902,545
M00142,0.08941651759206283,7
M00143,0.14484164436682267,293
M00146,0.03553461294134927,1254
M00147,0.1241859830733548,548
M00148,0.3323087960620634,580
M00151,0.056962776123892424,432
M00152,0.024381840313760082,1247
M00154,0.13379634645466618,1423
M00158,0.07736337354404847,2040
M00160,0.1062401714473862,1581
M00165,0.059462774858178614,1164
M00168,0.2864703274396679,170
M00169,0.13811767066028444,500
M00170,0.04602607492164738,786
M00171,0.17339015149438325,1433
M00172,0.13811767066028444,500
M00173,0.07092349264034156,577
M00307,0.1131245553917702,1480
M00308,0.1440114790769094,524
M00338,0.2006601463712734,253
M00344,0.022778963021801078,387
M00345,0.2031451596478915,366
M00346,0.19326024854184853,742
M00357,0.16888304395879972,399
M00364,0.2170158766472435,104
M00365,0.2170158766472435,104
M00366,0.24186548184138792,382
M00367,0.24587169740610296,399
M00368,0.2954243302661605,787
M00373,0.11442165578410297,791
M00374,0.05783324149088952,436
M00375,0.08583576927628758,565
M00376,0.11471712409110689,402
M00415,0.10817554998745335,1797
M00532,0.12872469353106938,1320
M00546,0.043218215006864034,497
M00549,0.15659747321813028,1276
M00552,0.1440114790769094,524
M00554,0.03663134258217477,465
M00555,0.12776615199822414,223
M00565,0.13894126429156917,59
M00570,0.14896062621969136,818
M00572,0.021680148872374155,825
M00580,0.0684180913507026,15
M00609,0.2954243302661605,787
M00621,0.20113479481252558,541
M00632,0.07224427945602536,635
M00740,0.0935401494411312,586
M00741,0.17573704184517155,454
M00761,0.07755913978147834,58
M00793,0.10087360955662664,523
M00840,0.352586089053607,1024
M00841,0.2861814297645658,134
M00842,0.18689350453515308,413
M00843,0.22420355593882502,350
M00844,0.11540868890960135,645
M00845,0.16723830661671057,470
M00846,0.19352794924113417,355
M00849,0.1047514525367881,1157
M00854,0.08524291020062516,906
M00855,0.02074532627993867,921
M00861,0.08351811379795945,776
M00862,0.1041572838011991,317
M00868,0.11399324953478673,1189
M00872,0.05255455838385681,2117
M00873,0.06571251874291696,1535
M00874,0.05787116495602467,1614
M00880,0.21387799176422664,783
M00881,0.32289485405379525,105
M00882,0.14676109500062345,242
M00883,0.04996163706081075,256
M00884,0.32289485405379525,105
M00885,0.08296671074371355,461
M00886,0.08296671074371355,461
M00892,0.2019098499625914,963
M00897,0.17194115986130692,146
M00898,0.17194115986130692,146
M00909,0.2312104274361311,847
M00911,0.18067077207976973,358
M00912,0.11265389971641143,1841
M00913,0.17459684279543802,245
M00917,0.04687481753707279,1471
M00926,0.16587779632948227,560
M00936,0.2573212010365101,185
M00938,0.13333640840930644,2728
M00953,0.2954243302661605,787
M00955,0.050312884989077385,1133
M00957,0.0837491331425141,689
M00958,0.052088959519707816,2339
M00959,0.11512205623155627,1723
M00968,0.11304866935072334,50
M00970,0.07289174826063889,426
M00972,0.025285599969192996,1074
M00974,0.11694556941715462,1216
M00975,0.10919120802182614,515
M00976,0.0554650339279349,1996
M00977,0.08057234677820913,1970
M00978,0.11242566842803173,663
M00981,0.2573212010365101,185
M00982,0.03391264220995067,134
M00983,0.07811195664053833,1260
M00987,0.03948082749280058,577
M00988,0.22420355593882502,350
M00991,0.19149506696354185,480
M00992,0.19149506696354185,480
M00994,0.20415379150047944,486
M00995,0.3256927146107247,656
M00997,0.030294603876548448,129
M00999,0.07755913978147834,58
M01000,0.1723697881161056,422
M01001,0.027556356332685376,369
M01002,0.3256927146107247,656
M01003,0.10154763966125552,380
M01004,0.2842563728459022,79
M01006,0.12427666639271025,298
M01015,0.155535847920451,871
M01016,0.13347133181574491,157
M01017,0.1706425014190998,71
M01018,0.1706425014190998,71
M01019,0.1706425014190998,71
M01020,0.1706425014190998,71
M01022,0.10087360955662664,523
M01023,0.10087360955662664,523
M01024,0.10087360955662664,523
M01025,0.10087360955662664,523
M01026,0.10087360955662664,523
M01027,0.10087360955662664,523
M01034,0.1706425014190998,71
hsa00010,0.07493111533109428,5660
hsa00020,0.2299495370963733,4364
hsa00030,0.07346285272189004,2108
hsa00040,0.09785177250899382,4887
hsa00051,0.09348114499041855,3684
hsa00052,0.045893909124514604,4743
hsa00053,0.0749485236976951,3684
hsa00061,0.05807729286364406,2534
hsa00062,0.13599657466836743,3465
hsa00071,0.035757334184169765,4195
hsa00100,0.049899290276072775,3301
hsa00120,0.02779582013510985,2065
hsa00130,0.025857302609973924,1711
hsa00140,0.054730537821684466,7335
hsa00190,0.05577479798945708,6479
hsa00220,0.08689239882240285,2904
hsa00230,0.10101381362574105,14534
hsa00232,0.043527926167245344,1381
hsa00240,0.06682588588399344,6182
hsa00250,0.10643096868454213,4909
hsa00260,0.07332878885090362,3814
hsa00270,0.14354688795812492,5856
hsa00280,0.11639511931679775,3808
hsa00290,0.14896062621969136,818
hsa00310,0.019842222319286864,9715
hsa00330,0.0229398194486517,4550
hsa00340,0.07058113985591948,2456
hsa00350,0.10679961837583771,5777
hsa00360,0.09475355465952116,2405
hsa00380,0.06816290094691574,4708
hsa00400,0.030739307238334814,1448
hsa00410,0.04139948928872803,4078
hsa00430,0.07896355602715298,2623
hsa00440,0.1248223379764674,689
hsa00450,0.18348014887859526,2897
hsa00470,0.07417867260582571,629
hsa00480,0.14787083691606848,6000
hsa00500,0.061713901292612144,4922
hsa00510,0.05318326495926438,6143
hsa00511,0.03728170545827233,1833
hsa00512,0.01091862780507346,4413
hsa00513,0.04652886929169356,5015
hsa00514,0.027487705924671448,5187
hsa00515,0.06688059123641345,3351
hsa00520,0.10541484299455262,3282
hsa00524,0.16478877855154728,666
hsa00531,0.05033249463009501,2742
hsa00532,0.024447905397284777,2644
hsa00533,0.04372972965097307,1993
hsa00534,0.04218114040577915,2960
hsa00541,0.1502302260649991,2581
hsa00561,0.1115452811911699,9002
hsa00562,0.040391058799923205,10034
hsa00563,0.007311852092718856,2930
hsa00564,0.06988101174852257,9113
hsa00565,0.038689416073636115,4319
hsa00590,0.05360164522271768,7014
hsa00591,0.0242114254594989,3530
hsa00592,0.02980104308987982,2390
hsa00600,0.014885384902230727,4930
hsa00601,0.01461226962722068,2835
hsa00603,0.04518396083781759,2407
hsa00604,0.05037262650502157,3029
hsa00620,0.07598028872830061,4641
hsa00630,0.21412089840738982,3475
hsa00640,0.10447042466854527,3165
hsa00650,0.07127805444828227,3157
hsa00670,0.22228870535490936,4222
hsa00730,0.07669960746275055,2893
hsa00740,0.11878056449008807,1778
hsa00750,0.10847311292461805,743
hsa00760,0.0933371870157811,4385
hsa00770,0.09439654840108241,4416
hsa00780,0.013695089874350915,898
hsa00785,0.10188525603129728,2660
hsa00790,0.18070251633856468,4336
hsa00830,0.0655437604515085,8640
hsa00860,0.10580245202206083,5164
hsa00900,0.14083197115511126,2682
hsa00910,0.22029791542815247,2141
hsa00920,0.0994703535875854,1395
hsa00970,0.18916478848175342,10071
hsa00980,0.045047428277198355,6731
hsa00982,0.03827584174933875,6974
hsa00983,0.11837386266689184,8233
hsa01040,0.11985867828144231,2617
hsa01100,0.027597045375949827,84176
hsa01200,0.12566770924884438,9356
hsa01210,0.19066346239507917,5317
hsa01212,0.11423026281980986,5716
hsa01230,0.15604888739948558,7501
hsa01232,0.11874621294443324,8729
hsa01240,0.12157176296817933,15082
hsa01250,0.13432463600204084,4286
