pathway_name,distance,n
M00001,0.10198418705485456,130
M00002,0.06827705828429285,64
M00003,0.0401807007325314,65
M00004,0.12533643602542338,39
M00005,0.2737940033285873,27
M00006,0.42504016747429146,7
M00007,0.0658641076591406,30
M00009,0.1476931790170878,169
M00010,0.13798485110963332,69
M00011,0.1563225498262904,104
M00012,0.1418281906969661,60
M00013,0.04129387655687361,51
M00014,0.04589614262653987,130
M00015,0.20189565988043284,44
M00017,0.17366958408014083,42
M00019,0.2895597306186911,41
M00020,0.14295947662205244,22
M00027,0.0905410423615691,68
M00028,0.2210655083772382,10
M00029,0.07778252738978414,56
M00032,0.14727234856957627,94
M00034,0.1549642393891926,123
M00035,0.08131153713940338,102
M00036,0.15449938264054774,121
M00037,0.08682332032683573,96
M00038,0.11486843705216668,76
M00042,0.03984055738550306,75
M00043,0.17035697743096892,10
M00044,0.052530733430897626,63
M00045,0.12695481600731942,33
M00046,0.049909428213712345,24
M00047,0.23034132054500117,259
M00048,0.3086563672489712,57
M00049,0.17236031601067092,136
M00050,0.20663649133842235,131
M00051,0.16897538048284186,31
M00052,0.12699174799638308,110
M00053,0.14921383072538488,301
M00055,0.027042300953339628,62
M00056,0.057591858210149886,140
M00057,0.04125520435848493,41
M00058,0.09636503871655878,61
M00059,0.02836572730251641,96
M00065,0.0509182906899686,84
M00066,0.0794183453618236,49
M00067,0.13306511028149226,27
M00068,0.07985111947005855,54
M00069,0.058173561588422504,56
M00070,0.06399469753748575,36
M00071,0.05602844206363632,21
M00072,0.04045179090149463,90
M00073,0.07018468687330813,79
M00074,0.0819098437533095,74
M00075,0.056366876297860316,93
M00076,0.09801696686656902,62
M00077,0.07197307544919442,71
M00078,0.07718115856093657,85
M00079,0.05135405595326012,33
M00082,0.0818516264994706,59
M00083,0.15225350393897322,44
M00085,0.051730571669613076,52
M00086,0.037157540924426295,51
M00087,0.08602011781948281,45
M00088,0.0798237462359511,77
M00089,0.0878126637251552,140
M00090,0.15102781466895665,30
M00091,0.05651300893893387,31
M00092,0.06963879600088307,38
M00093,0.18393330380623854,26
M00094,0.1078807006034351,84
M00095,0.06381199692669823,73
M00096,0.4006431688715407,7
M00098,0.0741384643278986,202
M00099,0.057110963901662044,106
M00100,0.06585522361455824,55
M00101,0.03548261529852044,141
M00102,0.059525984202648076,114
M00103,0.09213376951149754,21
M00104,0.10258713271690101,99
M00106,0.056535559371820365,28
M00107,0.08229395749112008,36
M00108,0.08279738935226928,52
M00109,0.15636998119101936,69
M00110,0.09515149085540088,34
M00113,0.08513429234296324,23
M00114,0.1070168565002151,30
M00115,0.08431487986986205,64
M00118,0.12340923326042906,15
M00119,0.2895597306186911,41
M00120,0.1209627581921912,100
M00121,0.05880426134654372,54
M00122,0.11080679852033622,52
M00124,0.14199560483497858,15
M00126,0.16273787876891874,87
M00128,0.03703266493947849,55
M00129,0.041719105668989925,113
M00130,0.030454144424614176,152
M00131,0.11314904561916042,27
M00132,0.12163782909147473,40
M00133,0.05161541919662206,35
M00134,0.12826059091826383,17
M00135,0.07806353155811462,31
M00140,0.05093047772981051,37
M00141,0.060327165798819075,54
M00142,0.062204254332722066,11
M00143,0.0919562524390377,20
M00146,0.1338817158936383,82
M00147,0.33119166429962443,28
M00148,0.11246060635284076,28
M00151,0.0912111171998302,24
M00152,0.0366547222058223,64
M00154,0.03982967048865596,105
M00158,0.07881485527968703,81
M00160,0.19307325639522485,75
M00165,0.039249700633065904,70
