pathway_name,distance,n
M00001,0.054103920655131206,1131
M00002,0.032656503753096054,514
M00003,0.054831744266908455,678
M00004,0.05797623351397996,320
M00005,0.18342506661409919,277
M00006,0.053106608606820704,135
M00007,0.12017133782612621,175
M00008,0.06816069917774194,79
M00009,0.13922410610149455,1218
M00010,0.19573249367058376,477
M00011,0.10728261546168567,785
M00012,0.2560986361836393,470
M00013,0.039742734125616686,372
M00014,0.05242869671687355,969
M00015,0.07558605982244232,391
M00017,0.18020103557791514,219
M00019,0.16113648604114464,349
M00020,0.07742989795806679,263
M00027,0.09055157570306116,423
M00028,0.26986550837723794,125
M00029,0.06201290846820552,586
M00032,0.08784195265642171,837
M00034,0.17088510705121257,1127
M00035,0.1452833271773785,953
M00036,0.12265191441181982,929
M00037,0.17897212309249957,676
M00038,0.0905039754614085,581
M00042,0.03607363152123976,464
M00043,0.07353198114833447,106
M00044,0.028948811508733057,487
M00045,0.17916744580942087,282
M00046,0.08989937084642162,174
M00047,0.07303482117982762,923
M00048,0.13339728098419235,550
M00049,0.08202308951954448,1025
M00050,0.19338110030609673,1009
M00051,0.05538583001072232,317
M00052,0.0712413475716803,778
M00053,0.026592535375079093,1279
M00055,0.01993213229539375,549
M00056,0.028520324414016977,1269
M00057,0.02539565416872972,444
M00058,0.03378158150768666,390
M00059,0.024712412111565336,945
M00065,0.060426647793195794,595
M00066,0.056638547053321296,293
M00067,0.09110530539941868,157
M00068,0.16647615583935355,334
M00069,0.04211826131503966,564
M00070,0.08511466502818052,277
M00071,0.0709569971077275,170
M00072,0.014383737746492112,683
M00073,0.040300810187332385,501
M00074,0.015685824918518377,406
M00075,0.046803167328339834,644
M00076,0.04054147204904723,569
M00077,0.0616360179150062,611
M00078,0.019754804213730177,634
M00079,0.10466480460522445,266
M00082,0.027751171087088196,489
M00083,0.025429548709327492,352
M00085,0.0939605730618923,466
M00086,0.06173856559469276,264
M00087,0.03498727378785321,569
M00088,0.03509620788887456,408
M00089,0.03215763363285138,1434
M00090,0.03816391173846203,357
M00091,0.1179080752098005,128
M00092,0.06300581683634447,390
M00093,0.055896888520590715,232
M00094,0.05699260034044625,863
M00095,0.05493479717303077,478
M00096,0.2883904387503616,58
M00098,0.07110948945007546,1764
M00099,0.0567152497043539,1005
M00100,0.017762648570896298,497
M00101,0.03879087213490467,1106
M00102,0.03705038804485851,904
M00103,0.057562699678439314,198
M00104,0.05787818298669424,819
M00106,0.07316641449228041,280
M00107,0.034736817637028836,269
M00108,0.03345022148375629,400
M00109,0.0829104659546805,579
M00110,0.049921356761449424,323
M00113,0.03838520994834276,224
M00114,0.1594988099288281,211
M00115,0.09882906586001018,591
M00118,0.0562893787249482,148
M00119,0.16113648604114464,349
M00120,0.05890728748916422,830
M00121,0.12552840090319947,650
M00122,0.20453940405081747,184
M00124,0.09231303456340645,109
M00126,0.18999202972223989,663
M00128,0.06256431771913258,354
M00129,0.05523065009195872,753
M00130,0.015812563866784313,1353
M00131,0.06331456550737441,225
M00132,0.043438124424035364,285
M00133,0.17510091530701208,236
M00134,0.10641927596520977,180
M00135,0.08466320548314905,244
M00140,0.08598457632851546,126
M00141,0.10374567405567267,218
M00142,0.048239104016588125,15
M00143,0.11468249261915418,261
M00146,0.05832392545011321,596
M00147,0.14817135958458902,284
M00148,0.3131995152006352,272
M00151,0.03331361328072114,234
M00152,0.027764266890108778,588
M00154,0.04832055624298105,589
M00158,0.023222094298051547,652
M00160,0.06478193913141042,793
M00165,0.046621838856757705,514
M00168,0.2160575861482774,139
M00169,0.12969631656913558,168
M00170,0.05950081741597318,370
M00171,0.20394910759823368,645
M00172,0.12969631656913558,168
M00173,0.12656913559959143,352
M00307,0.03956830017440699,560
M00308,0.22770804396240604,126
M00338,0.2801312414319838,139
M00344,0.063995469983488,242
M00345,0.2051801901681678,229
M00346,0.22547118791400256,318
M00357,0.10460194218585549,157
M00364,0.2883904387503616,58
M00365,0.2883904387503616,58
M00366,0.10484946274156916,244
M00367,0.0837909714796763,300
M00368,0.3152316125158971,413
M00373,0.052601327796390616,409
M00374,0.03227219259551786,150
M00375,0.05025564579213294,185
M00376,0.0576916630157726,264
M00415,0.09576086714617771,929
M00532,0.1080188044686348,594
M00546,0.056171036324392014,227
M00549,0.10161129259302604,715
M00552,0.22770804396240604,126
M00554,0.13954644748243353,162
M00555,0.19941324303428729,68
M00565,0.09072995790543426,21
M00570,0.18317290733219974,533
M00572,0.03799473713142555,340
M00580,0.12494868997759603,10
M00609,0.3152316125158971,413
M00621,0.06880151588568281,274
M00632,0.08347685963791719,307
M00740,0.16404821127559605,264
M00741,0.09060199491401734,303
M00761,0.044727077684610504,54
M00793,0.11048737006847514,394
M00840,0.35304735829382716,143
M00841,0.1620931315826229,103
M00842,0.06230872506968449,244
M00843,0.06171027830889285,213
M00844,0.14468917002606307,449
M00845,0.1932772441444412,391
M00846,0.15304279982422458,142
M00849,0.058068515302226405,469
M00854,0.11485939796747421,441
M00855,0.029050318367119216,326
M00861,0.03907479280097357,374
M00862,0.04413422185917128,214
M00868,0.010857438770061937,591
M00872,0.03373382482623432,1029
M00873,0.033564164007064703,613
M00874,0.0473747726557186,740
M00880,0.19520061972517108,297
M00881,0.07115141747246513,47
M00882,0.03150667188054867,96
M00883,0.09556265693203912,106
M00884,0.07115141747246513,47
M00885,0.1383704167011658,290
M00886,0.1383704167011658,290
M00892,0.2503037781000221,668
M00897,0.180401560778579,59
M00898,0.180401560778579,59
M00909,0.2956435218208384,543
M00911,0.20675163065077826,190
M00912,0.05688378415571794,784
M00913,0.11254622147876955,107
M00917,0.06438906853540681,565
M00926,0.06030210857637507,373
