pathway_name,distance,n
M00001,0.21726382445145953,4
M00002,0.3055994055495056,2
M00003,0.29119611637960174,2
M00004,0.4576004558736409,1
M00005,0.3181511113703,1
M00007,0.4599375494454662,1
M00009,0.3048617769661355,3
M00011,0.30349490525488987,3
M00013,0.4746278464872465,1
M00014,0.211899901927951,3
M00015,0.47154666145989554,1
M00017,0.18559940015435683,2
M00019,0.15147050286274988,2
M00020,0.4316444377386768,1
M00027,0.3563424559907777,2
M00029,0.47556545117381616,1
M00032,0.13990697416688458,2
M00034,0.280758775809876,3
M00035,0.0781821353907361,6
M00036,0.18178613348866518,5
M00037,0.15446407254005845,3
M00038,0.16249756880651953,2
M00042,0.29872300249792777,2
M00044,0.3126331762185911,2
M00045,0.45852790709994323,1
M00047,0.1074684895283847,3
M00048,0.4075377787693997,1
M00049,0.10031351035110256,6
M00050,0.10067771390165944,3
M00051,0.08792162199654051,3
M00052,0.12678207996529403,3
M00053,0.12400617721846319,4
M00055,0.5131060820068593,3
M00056,0.1373381688612395,4
M00057,0.1527371432998157,2
M00058,0.542132244625325,1
M00059,0.05369778191375618,6
M00065,0.3785921893997458,2
M00066,0.4889827369049403,2
M00067,0.6551071834113973,1
M00068,0.31473340067557326,4
M00069,0.37392252963254097,2
M00070,0.5598724510657206,2
M00071,0.6091651748031407,1
M00072,0.11074196427322765,3
M00073,0.3087821685819731,2
M00074,0.3002575782460863,2
M00075,0.26384512267977445,6
M00076,0.16607221892959853,2
M00077,0.16596668594732483,2
M00078,0.15556505124841485,4
M00079,0.2604545768300668,3
M00082,0.18875133000877975,3
M00083,0.34306609953419853,1
M00085,0.4368214661993753,1
M00086,0.3472429261177947,1
M00087,0.13746671071246871,3
M00088,0.44825966652329724,1
M00089,0.08967188904524319,6
M00090,0.10149850506960677,4
M00091,0.4602783801391176,1
M00092,0.12910213292437203,7
M00093,0.4589600032246409,1
M00094,0.27682519336383676,2
M00095,0.4597018967936114,2
M00098,0.0860210543794249,5
M00099,0.28647970284373503,2
M00100,0.340026132677906,1
M00101,0.3991158426615951,3
M00102,0.39053993354627553,3
M00104,0.5446672506919692,2
M00106,0.5921628448154995,2
M00107,0.34938448307997994,1
M00109,0.6189033749827888,1
M00113,0.43736129749774766,1
M00114,0.23319440997687016,2
M00115,0.09136703340256684,3
M00119,0.15147050286274988,2
M00120,0.18743141414393558,3
M00122,0.13081220406588073,2
M00124,0.48908681520821673,1
M00126,0.3961227770007742,2
M00128,0.5380997805712285,2
M00129,0.4582591664756633,1
M00130,0.13060002867091372,4
M00131,0.3530190109532466,1
M00132,0.1704193613682151,2
M00135,0.16364275161812575,2
M00140,0.4370566299193415,1
M00141,0.3837359119883166,1
M00143,0.4525672489258516,1
M00146,0.2932522339758755,1
M00147,0.1571207376606096,1
M00148,0.37037065783049944,1
M00152,0.5507054836815302,1
M00154,0.3267827681814098,2
M00158,0.23661740030865422,4
M00160,0.1279784901316731,5
M00165,0.18731731530380755,3
M00169,0.38364274594726994,1
M00170,0.5129672197318205,1
M00171,0.43493783620763327,1
M00172,0.38364274594726994,1
M00307,0.25007101122869296,3
M00308,0.3273124013280536,1
M00338,0.3378227939505231,1
M00344,0.47917280808131013,1
M00345,0.36991678779123827,1
M00346,0.40375515772989,1
M00367,0.48768699384848535,2
M00368,0.303415849958745,2
M00373,0.4151149439687382,1
M00374,0.4494723964195376,1
M00375,0.4667194188106194,1
M00415,0.16006591693683325,3
M00532,0.4565452468079108,1
M00546,0.39375063003796157,1
M00549,0.1442395125880493,2
M00552,0.3273124013280536,1
M00554,0.41503914680849774,1
M00565,0.4808877631874903,1
M00570,0.1513902916778273,2
M00572,0.3455337595698604,1
M00609,0.303415849958745,2
M00621,0.38320995688314147,1
M00632,0.3322005064136814,2
M00793,0.3892050117681428,1
M00840,0.34144385018932755,1
M00844,0.42342320504246106,1
M00849,0.46174075455307284,2
M00854,0.45770440621438546,1
