pathway_name,distance,n
M00001,0.07892171976333298,49
M00002,0.212442792688262,21
M00003,0.13017937391871975,32
M00004,0.21002577824799606,18
M00005,0.1480149857056205,10
M00006,0.3200985757563095,8
M00007,0.2104422238116131,16
M00008,0.304158829615267,8
M00009,0.06732897907903572,45
M00010,0.06610569943711433,24
M00011,0.1325793754275536,28
M00012,0.08838805662403917,16
M00013,0.12205885677956838,17
M00014,0.0932575722623438,44
M00015,0.1565885130803748,13
M00017,0.3954908455833528,6
M00019,0.0627868949225866,22
M00020,0.18205483485209362,18
M00027,0.13693627212314063,22
M00028,0.2348680941316416,11
M00029,0.11350201181138266,18
M00032,0.22909548553969322,28
M00034,0.10745377137081064,70
M00035,0.12517959536207185,70
M00036,0.2544684862448567,52
M00037,0.05971572793543066,27
M00038,0.23749560562200653,34
M00042,0.16864499520930382,11
M00043,0.23002328832124921,3
M00044,0.1429909624012129,20
M00045,0.24307220771418284,21
M00046,0.23486447032220434,12
M00047,0.08757923996029489,33
M00048,0.2611528334861519,30
M00049,0.1811468581795124,35
M00050,0.09622578817525967,44
M00051,0.37223642066130824,5
M00052,0.07400783369877917,29
M00053,0.1516179416518091,29
M00055,0.08282033092814843,51
M00056,0.09284370141674428,76
M00057,0.17531590493553723,33
M00058,0.19955301193720945,11
M00059,0.048644168889898524,41
M00065,0.05904583302663364,32
M00066,0.07727421722395644,20
M00067,0.19096959887818699,10
M00068,0.10280320601344191,16
M00069,0.05070388951527169,38
M00070,0.19601290974175642,20
M00071,0.2177903189339941,16
M00072,0.14867208231666645,38
M00073,0.11651277222255498,19
M00074,0.11629326593314028,11
M00075,0.057580053623068554,32
M00076,0.10528894469595088,22
M00077,0.08288324161017128,23
M00078,0.10922859559196361,24
M00079,0.07750276403222287,19
M00082,0.10291817490379848,21
M00083,0.15292540193729912,11
M00085,0.1563179674442542,19
M00086,0.2673657037629942,7
M00087,0.11100082528484637,31
M00088,0.1185001341152628,25
M00089,0.13794881190015232,64
M00090,0.08673517743381139,12
M00091,0.17660663716909006,6
M00092,0.12220877077245,17
M00093,0.31467445158154994,6
M00094,0.08623998566859334,36
M00095,0.10589367877234739,18
M00096,0.3065461276282629,6
M00098,0.031417028850189266,86
M00099,0.05805606426951582,46
M00100,0.07332975819163909,27
M00101,0.06065876825241563,55
M00102,0.04694010294691611,48
M00103,0.1677060702952405,11
M00104,0.2186521597371678,42
M00106,0.33372213873369433,14
M00107,0.12909923265687842,17
M00108,0.14823249296073074,25
M00109,0.16365275500394735,32
M00110,0.1534807222216348,13
M00113,0.20495556232841383,13
M00114,0.22965131615022258,9
M00115,0.10911263653051656,27
M00118,0.3172671977281036,6
M00119,0.0627868949225866,22
M00120,0.04596287625130198,40
M00121,0.0554566012349627,56
M00122,0.265539624193023,13
M00124,0.2643304561858266,10
M00126,0.0938052353658895,45
M00128,0.20571621719514172,16
M00129,0.08833224991041455,32
M00130,0.06392405487318888,62
M00131,0.3451633965613897,6
M00132,0.18519585639637515,13
M00133,0.12805661654713685,21
M00134,0.31869556937268717,6
M00135,0.18919391657905052,16
M00140,0.16732229129754583,10
M00141,0.07072291241643057,29
M00143,0.1406954501461614,15
M00146,0.07957199652190193,33
M00147,0.4431144309536533,17
M00148,0.21384662511925218,12
M00151,0.13846970179548615,11
M00152,0.08129192258586869,42
M00154,0.09541998257099132,23
M00158,0.1461350021887999,27
M00160,0.12587311700312434,45
M00165,0.14916209557232388,31
M00169,0.08739210567277791,5
M00170,0.12132083324913435,22
M00171,0.04957522731453901,32
M00172,0.08739210567277791,5
M00173,0.1286998746373478,27
M00307,0.14805116813645317,24
M00338,0.414070296369533,8
M00344,0.2399002645487203,13
M00345,0.17724934704629397,12
M00346,0.27472452042638995,14
M00357,0.2380113140922618,10
M00364,0.3065461276282629,6
M00365,0.3065461276282629,6
M00366,0.11379149863810732,12
M00367,0.11626604331982902,12
M00368,0.28760045835931947,36
M00373,0.08192313630103921,21
M00374,0.21981588061800683,9
M00375,0.12487250035148394,12
M00376,0.14057787211526132,15
M00415,0.03711384668518323,74
M00532,0.18769593809281612,26
M00546,0.3034792978170436,2
M00549,0.15526282301179375,25
M00554,0.08446891409525173,12
M00555,0.30637866946842024,6
M00570,0.05135483675271933,33
M00572,0.1530331140209319,11
M00609,0.28760045835931947,36
M00621,0.2813820958266765,8
M00632,0.08660097881353272,12
M00740,0.10451771143852824,25
M00741,0.1131035240274979,18
M00761,0.3223297968223756,1
M00793,0.08610292581311102,40
M00840,0.3885763651298608,3
M00841,0.14966071514464066,8
M00842,0.10130334249238403,19
M00843,0.10831586153872484,9
M00844,0.20186774983464204,12
M00845,0.23012054826087294,11
M00846,0.13887586940753685,13
M00849,0.10524179534609628,18
M00854,0.11549775385157525,19
M00855,0.12306577028574851,17
M00861,0.18629059601323192,13
M00862,0.3141181659053553,6
M00868,0.10121898164571783,31
M00872,0.11575496851203629,49
M00873,0.08007156129035586,23
M00874,0.07788071117346129,27
M00880,0.25442736401486615,7
M00882,0.35132482967846246,1
M00883,0.33597785202548414,5
M00885,0.163782321112142,14
M00886,0.163782321112142,14
M00892,0.17517937366261446,24
M00909,0.2322516908420878,18
M00911,0.47390211164884455,6
M00912,0.15079961385082732,45
M00913,0.2766774262198956,8
M00917,0.18419877461662504,32
M00926,0.07127617327082476,27
M00936,0.29635979394689077,6
M00938,0.2092579947094415,33
M00953,0.28760045835931947,36
M00955,0.2910106993993827,17
M00957,0.22419846989545603,11
M00958,0.05298848791130403,48
M00959,0.164339263077491,28
M00970,0.3111761518439435,6
M00972,0.14845875206678777,13
M00974,0.16511084833639345,20
M00975,0.18616236211373777,13
M00976,0.0757585781806452,27
M00977,0.0836402409364183,29
M00978,0.20587057639786152,12
M00981,0.29635979394689077,6
M00982,0.31572121507360545,6
M00983,0.19293664998101648,15
M00987,0.31844744163196514,3
M00988,0.10831586153872484,9
M00991,0.2042869188381029,5
M00992,0.2042869188381029,5
M00995,0.3252883853338266,12
M00997,0.36363038126152325,1
M00999,0.3223297968223756,1
M01000,0.22965131615022258,9
M01001,0.20556971147286374,13
M01002,0.3252883853338266,12
M01003,0.1635547701521763,12
M01006,0.1797929401823998,10
M01015,0.07698069985095815,21
M01016,0.2205259186096395,9
M01017,0.20769442616334274,9
M01018,0.20769442616334274,9
M01019,0.20769442616334274,9
M01020,0.20769442616334274,9
M01022,0.08610292581311102,40
M01023,0.08610292581311102,40
M01024,0.08610292581311102,40
M01025,0.08610292581311102,40
M01026,0.08610292581311102,40
M01027,0.08610292581311102,40
M01034,0.20769442616334274,9
hsa00010,0.044417511336673515,114
hsa00020,0.0512996537863075,61
hsa00030,0.1481966817592396,44
hsa00040,0.04254572429888342,63
hsa00051,0.03634545895564755,68
hsa00052,0.04367832718479231,76
hsa00053,0.08539090635419067,36
hsa00061,0.10801509269627212,34
hsa00062,0.11583612764761189,110
hsa00071,0.10742883784788172,78
hsa00100,0.05724495986937372,82
hsa00120,0.2282599917393959,43
hsa00130,0.1479847331953038,29
hsa00140,0.040333718502653104,137
hsa00190,0.030032264091870507,130
hsa00220,0.07143226758286647,56
hsa00230,0.10587598584431723,256
hsa00232,0.11768453076909606,17
hsa00240,0.06521909927790026,119
hsa00250,0.04556287603672182,105
