pathway_name,distance,n
M00001,0.15371993646496412,15
M00002,0.22424477152008718,8
M00003,0.2361370887662475,12
M00004,0.20759821347811766,12
M00005,0.3770656403634304,5
M00006,0.3437042277314986,3
M00007,0.3211184517712338,6
M00009,0.2331325416412438,18
M00010,0.21340885558361564,9
M00011,0.25445015208430943,9
M00012,0.14030961430109656,2
M00013,0.42581647058020006,1
M00014,0.16178052862745768,6
M00019,0.3743793735474831,2
M00027,0.13675562401618785,6
M00029,0.18197007657797343,5
M00034,0.3014517960999296,7
M00035,0.09561987409562853,9
M00036,0.16169992159725832,5
M00037,0.3436003250077155,1
M00038,0.11828297792543958,9
M00042,0.37820202907406625,3
M00043,0.4426707689614439,3
M00044,0.23824306535796497,4
M00045,0.38410997464217894,2
M00046,0.22692273416629957,5
M00047,0.3982306384343189,12
M00048,0.1147668280593281,10
M00049,0.2677248943718337,8
M00050,0.21337446798942125,5
M00051,0.4149512876863211,1
M00052,0.14755323828386316,8
M00053,0.2329964659402668,14
M00055,0.36049438628929864,7
M00056,0.08207029499785054,18
M00057,0.14781647262104614,4
M00058,0.34988117209494657,5
M00059,0.12002554463476696,14
M00065,0.2523182517002868,11
M00066,0.33769126020512935,2
M00068,0.2714915860961302,2
M00069,0.4812111539711529,2
M00072,0.4299403777272076,4
M00075,0.39203014336077635,1
M00076,0.1945399076177521,9
M00077,0.19676784048885546,7
M00078,0.10803308026659982,12
M00079,0.48943325887360983,1
M00086,0.2715303440319976,4
M00088,0.415023976795785,1
M00089,0.17770512169378647,9
M00090,0.2557694679293585,9
M00092,0.26598322946859626,6
M00094,0.4296408272284049,2
M00095,0.38418851132399207,2
M00098,0.2877405290957123,9
M00099,0.15200320049306631,9
M00100,0.16490284440682865,4
M00101,0.21713406640823305,6
M00102,0.2226735775272071,6
M00104,0.372703802164602,3
M00107,0.3010526177569581,1
M00108,0.402360092210764,1
M00109,0.2845284397017374,2
M00110,0.2854265193813929,1
M00115,0.22748582477541177,4
M00118,0.35947452130188157,1
M00119,0.3743793735474831,2
M00120,0.2929455622417494,6
M00121,0.2913185251968832,6
M00122,0.11097443871128192,2
M00126,0.2737551830210553,12
M00129,0.21701548692264244,4
M00130,0.1411935220197299,15
M00131,0.3136288764375216,3
M00132,0.5015456112959008,2
M00134,0.3866091412315555,5
M00142,0.06869684837522019,12
M00146,0.08580774099167325,10
M00148,0.2167199395701206,6
M00152,0.3396141405712642,4
M00154,0.1043766598798809,17
M00158,0.38947941425866506,6
M00160,0.21685434384861968,8
M00165,0.27030394533670227,11
M00169,0.4455969620293727,1
M00170,0.17839521593512994,6
M00171,0.17292534935303355,6
M00172,0.4455969620293727,1
M00173,0.25473218553544547,7
M00308,0.2713018762360444,2
M00338,0.4323573868012465,1
M00344,0.2735692253553127,5
M00345,0.22526078158492968,6
M00346,0.3398942254187183,2
M00366,0.3744955046250735,3
M00367,0.13511912771967577,5
M00368,0.3386157944137251,1
M00373,0.2561733410120576,4
M00415,0.08130225263360968,17
M00532,0.37902397221240075,2
M00549,0.3350777670576026,2
M00552,0.2713018762360444,2
M00554,0.35158643178411886,2
M00570,0.38958975914329097,2
M00609,0.3386157944137251,1
M00632,0.35825443025330533,2
M00740,0.18214673705084516,8
M00741,0.2570033349692306,4
M00841,0.28928565679140317,7
M00842,0.28703250395707774,7
M00843,0.2890909284165061,7
M00844,0.22259401673147527,5
M00845,0.24257429491522625,5
M00846,0.3822206086027023,2
M00849,0.3856848918806218,2
M00854,0.39236875233039215,4
M00855,0.36986764954590423,3
M00868,0.2727073249498059,10
M00872,0.14184720735792453,14
M00873,0.4380732169354152,1
M00874,0.3840263109573785,1
M00892,0.3203730488418212,4
M00897,0.3086594123364026,2
M00898,0.3086594123364026,2
M00909,0.2951365560514235,4
M00911,0.39322132432942497,2
M00912,0.13365431927996183,10
M00926,0.2733040505472463,6
M00936,0.2789341885289361,1
M00938,0.22663851219911776,14
M00953,0.3386157944137251,1
M00955,0.4452288974805741,2
M00958,0.09062900881497117,10
M00959,0.1584574658593439,6
M00970,0.3074327642261131,10
M00972,0.38597888164126426,12
M00974,0.439211945396963,2
M00976,0.3334768052165618,1
M00977,0.3585499732557226,1
M00978,0.22614666774918693,5
M00981,0.2789341885289361,1
M00983,0.2639323222157498,6
M00988,0.2890909284165061,7
M00995,0.24930568027019112,4
M01001,0.4448855156400308,2
M01002,0.24930568027019112,4
M01003,0.24312874149574876,3
M01015,0.3437617102099332,2
hsa00010,0.16649946745222655,24
hsa00020,0.19711412364954028,21
hsa00030,0.11563199849351666,25
hsa00040,0.10037390354755236,13
hsa00051,0.3308459440821249,18
hsa00052,0.25060151071149306,11
hsa00053,0.21891643080681092,4
hsa00061,0.37952860398020705,9
hsa00062,0.11456932390359138,23
hsa00071,0.14935064931916292,12
hsa00100,0.23352335690632617,13
hsa00120,0.3828982406885125,3
hsa00130,0.2695421176553897,4
hsa00140,0.10990642350324191,18
hsa00190,0.04476701295311614,64
hsa00220,0.18160543892885891,17
hsa00230,0.03563685016192473,58
hsa00232,0.2312566234900594,5
hsa00240,0.14579071776954106,30
hsa00250,0.1025188442827517,18
hsa00260,0.31300048817128634,22
hsa00270,0.0635950337973804,18
hsa00280,0.16607803424311424,10
hsa00290,0.38958975914329097,2
hsa00310,0.058627595483432056,51
hsa00330,0.22303597316089324,26
hsa00340,0.23134280168516622,3
hsa00350,0.10832074757252852,15
hsa00360,0.1744747847189302,12
hsa00380,0.04892941417910699,13
hsa00400,0.18350585975742048,6
hsa00410,0.17873512933123337,13
hsa00430,0.25968239426268863,8
hsa00440,0.2745169604512611,7
hsa00450,0.11642946595449913,16
hsa00470,0.22159881398072204,3
hsa00480,0.2272408576742457,36
hsa00500,0.23798899261561776,17
hsa00510,0.058110807223765826,18
hsa00511,0.17425789143360373,10
hsa00512,0.07412115933795874,23
hsa00513,0.07692284141263163,15
hsa00514,0.08846918750437437,31
hsa00515,0.12035699235877786,15
hsa00520,0.16550991901828024,15
hsa00524,0.3336148284384675,2
hsa00531,0.09438716113577558,19
hsa00532,0.22218075068175844,11
hsa00533,0.3289809674370524,1
hsa00534,0.06092920928723312,18
hsa00541,0.4011041117155391,5
hsa00561,0.19449899307730859,23
hsa00562,0.10447275089545507,46
hsa00563,0.2515691480947372,11
hsa00564,0.11823460526974988,80
hsa00565,0.19348534658781222,61
hsa00590,0.21741422942019176,67
hsa00591,0.24453494756918914,49
hsa00592,0.2613195889565104,42
hsa00600,0.1220687144518925,25
hsa00601,0.1860405873439751,7
hsa00603,0.14158423460589914,4
hsa00604,0.31727825363184853,5
hsa00620,0.1722055053930526,21
hsa00630,0.08853761717256474,14
hsa00640,0.28585662720659966,14
hsa00650,0.13937325621531152,6
hsa00670,0.0678785406890895,14
hsa00730,0.15140327171186171,16
hsa00740,0.27723922750513824,10
hsa00750,0.40777558200304587,2
hsa00760,0.10471346076556433,18
hsa00770,0.19309908865779304,13
hsa00785,0.372398050255513,3
hsa00790,0.20399001243980483,13
hsa00830,0.11228279589031706,21
hsa00860,0.06383665941059853,25
hsa00900,0.08592648256806823,17
hsa00910,0.29885429131098384,5
hsa00920,0.49311657803481107,3
hsa00970,0.21118261151029402,49
hsa00980,0.10894070966795966,23
hsa00982,0.11240495353259358,21
hsa00983,0.17255971274675047,29
hsa01040,0.1258028365423389,18
hsa01100,0.04622869675507708,493
hsa01200,0.11877418136939824,48
hsa01210,0.21832178704910998,17
hsa01212,0.057261736057558875,35
hsa01230,0.10418431818136076,37
hsa01232,0.09914433271660958,33
hsa01240,0.050324579362114825,44
hsa01250,0.18747091839714436,8
hsa01521,0.06960416112937715,98
hsa01522,0.14271726519343714,113
hsa01523,0.14477882459740743,22
hsa01524,0.2003962221761824,50
hsa02010,0.09915958896493673,47
hsa03008,0.07402704075519081,65
