pathway_name,distance,n
M00001,0.11692515069538761,3025
M00002,0.09147391667091465,1407
M00003,0.07134554368602905,1571
M00004,0.05572922667247489,877
M00005,0.13675569884296437,846
M00006,0.018737325643504506,269
M00007,0.08910218198197027,528
M00008,0.030076411509469842,156
M00009,0.15861464032332953,3183
M00010,0.19357374740341868,1354
M00011,0.12963971492060805,1929
M00012,0.2362844807823267,1214
M00013,0.030309769160995013,1131
M00014,0.09676446936487565,2743
M00015,0.09153800810280491,810
M00017,0.1442487972188647,669
M00019,0.1474077590569226,762
M00020,0.09954172182269043,551
M00027,0.08144760838874021,1104
M00028,0.1846550030120981,226
M00029,0.06059928468208949,1314
M00032,0.12558893689352038,2098
M00034,0.16886429355237667,3019
M00035,0.13417743575697114,2701
M00036,0.13536543880892551,2407
M00037,0.17729512128635821,1884
M00038,0.12477166351630528,1229
M00042,0.01363169531665836,1388
M00043,0.06648492720938844,156
M00044,0.01116396059510746,1335
M00045,0.12420830516368842,758
M00046,0.08676443785542505,385
M00047,0.027092541193717172,1797
M00048,0.13353925870064165,1481
M00049,0.1319791344824131,3063
M00050,0.21724975733168841,2927
M00051,0.10169061385700619,819
M00052,0.09853751018521481,2454
M00053,0.08245048087547666,2826
M00055,0.0686034663064625,1762
M00056,0.021029074696887255,3460
M00057,0.06211854902147067,1162
M00058,0.01810296551419361,1104
M00059,0.08114359296368871,2759
M00065,0.006801984601677608,1965
M00066,0.02625202229004165,875
M00067,0.08405846217651577,490
M00068,0.1303166460751198,1264
M00069,0.04878331221436681,1413
M00070,0.1160256526478897,900
M00071,0.07028917378840012,602
M00072,0.05980405463620475,1958
M00073,0.07468908598707823,1493
M00074,0.07794500332417739,1292
M00075,0.044875164328977486,2173
M00076,0.05762291886877195,1616
M00077,0.07523759593460766,1793
M00078,0.03355313446033827,1873
M00079,0.08545670017330538,995
M00082,0.04250065159751212,1274
M00083,0.01980600887281136,971
M00085,0.10189027050585073,1129
M00086,0.07423785090289903,926
M00087,0.05472171109404327,1622
M00088,0.07980300102034589,1215
M00089,0.06312407900496256,3871
M00090,0.029656186310726022,888
M00091,0.06020687645867769,428
M00092,0.09964195546767639,984
M00093,0.062499560956289446,553
M00094,0.11480338010943976,2280
M00095,0.05771698583674299,1487
M00096,0.11877400683435821,192
M00098,0.07115386496944696,4745
M00099,0.08994099281543588,2830
M00100,0.07812950892690583,1207
M00101,0.0814681927563367,2854
M00102,0.07421694132895083,2292
M00103,0.03150110586785985,551
M00104,0.01770965196930869,2280
M00106,0.042418018160481456,738
M00107,0.06315714090611231,845
M00108,0.024026384910264934,855
M00109,0.04948980517961715,1403
M00110,0.018718251443723556,771
M00113,0.06295003623506058,681
M00114,0.16772813983321255,597
M00115,0.09355152200418969,1650
M00118,0.08619507144321752,425
M00119,0.1474077590569226,762
M00120,0.10012652566115379,1894
M00121,0.12797263875364973,1443
M00122,0.1503978775833588,922
M00124,0.06989498078583224,346
M00126,0.17905981432261225,1636
M00128,0.037490141013267315,951
M00129,0.11420845265099983,2277
M00130,0.051408334754629734,3369
M00131,0.027161440270416504,814
M00132,0.017184834338598288,890
M00133,0.15234141128080056,554
M00134,0.11823078388621046,302
M00135,0.11895543515772561,798
M00140,0.08290704303876043,523
M00141,0.12268099791174518,807
M00142,0.1741010724336531,11
M00143,0.08121566768366349,499
M00146,0.0472870741221376,1582
