pathway_name,distance,n
M00001,0.41290726397793154,3
M00002,0.37848319575728173,2
M00003,0.34596538145485406,1
M00004,0.5148512335139802,1
M00006,0.4715907004911564,1
M00008,0.5133249539483448,1
M00009,0.20360942926059064,4
M00011,0.20521140866536056,4
M00012,0.5094819752797364,1
M00013,0.34072742669945255,1
M00014,0.14065437543147022,2
M00017,0.1889620045922586,2
M00019,0.470699087653014,1
M00032,0.23776711496134711,3
M00034,0.30647958552679416,3
M00035,0.2996727605333499,3
M00036,0.10214545137423307,4
M00037,0.43256258954080984,1
M00042,0.3517955823311733,2
M00046,0.37393277685742843,1
M00047,0.13718139636692128,11
M00048,0.3515705966967063,1
M00049,0.18450035279719987,4
M00050,0.14196868225625653,4
M00051,0.3445520088716989,1
M00052,0.2008134780797959,4
M00053,0.0779400634365482,14
M00056,0.1917546331026833,2
M00059,0.2615963634566702,3
M00065,0.3259690039697506,1
M00066,0.29185828000829467,1
M00067,0.2930236070250069,1
M00069,0.44822721033050394,1
M00071,0.3364303262484111,1
M00072,0.3517587996882806,1
M00073,0.3970583770635428,1
M00075,0.32778607358928225,1
M00082,0.27233669599592575,2
M00083,0.33846858433370597,1
M00085,0.32656037574404434,1
M00087,0.30844857383830004,2
M00088,0.4495915629734751,1
M00089,0.2790156712439525,4
M00095,0.43875254653140455,1
M00098,0.14835309725015247,7
M00101,0.42144160354352966,1
M00104,0.5446672506919692,1
M00113,0.40931084752573976,1
M00114,0.4481009835460723,1
M00118,0.40471879934745797,1
M00119,0.470699087653014,1
M00120,0.14398975800897848,3
M00121,0.3644072683986066,2
M00122,0.4777137496875502,2
M00126,0.4493034538223966,3
M00129,0.14203138276554078,2
M00130,0.1449197460457062,3
M00131,0.3665326435129204,1
M00134,0.5109939417809474,1
M00142,0.13774332060541755,3
M00146,0.15148627938861453,2
M00151,0.27358014132256997,2
M00152,0.19830010543657126,4
M00154,0.10888237811703085,7
M00160,0.3930334768752878,1
M00165,0.335391309702492,1
M00168,0.516212069636856,1
M00171,0.46003408899660025,1
M00307,0.4479283732240631,1
M00308,0.3641478516866518,1
M00346,0.3835377821399867,1
M00368,0.258415849958745,2
M00415,0.12883559212253765,2
M00532,0.16408364341782672,3
M00549,0.32538109873729587,2
M00552,0.3641478516866518,1
M00554,0.3467724411745936,1
M00570,0.487538676430239,1
M00572,0.3403676417941458,1
M00609,0.258415849958745,2
M00621,0.5113756217067226,1
M00632,0.3465546462064267,1
M00761,0.3062753409003332,1
M00793,0.42390040728194,1
M00841,0.5079701587321961,1
M00842,0.421386204736441,1
M00843,0.4494094924343971,1
M00849,0.4368985281737095,1
M00855,0.31117118446294667,1
M00861,0.39579334271100763,2
M00862,0.4742782100337396,1
M00868,0.44037691510730226,1
M00872,0.23827663365006613,3
M00873,0.34363996738804203,1
M00874,0.2623012817682116,2
M00880,0.3202463087226803,1
M00881,0.5335968452471711,1
M00882,0.4483486127167219,1
M00883,0.36546610203842794,1
M00884,0.5335968452471711,1
M00885,0.3456139316260331,1
M00886,0.3456139316260331,1
M00892,0.3510463892132239,1
M00909,0.3285105332042357,1
M00917,0.4075943617595402,1
M00938,0.07189272941018282,14
M00953,0.258415849958745,2
M00955,0.49072962785698193,1
M00957,0.1709254485876328,2
M00958,0.22477861183469014,2
