pathway_name,distance,n
M00001,0.1978587464100317,2
M00009,0.3277986521960029,1
M00010,0.32496261528433207,1
M00015,0.3522492654370375,1
M00019,0.3553050092579306,1
M00029,0.32771188183273514,1
M00032,0.33362506752396565,1
M00034,0.2684568352443512,2
M00035,0.2727467521845724,2
M00036,0.3392455594326728,1
M00037,0.3392897936888321,1
M00038,0.33785094452878084,1
M00045,0.3353949498473298,1
M00049,0.4586781299926511,5
M00050,0.21895352432739176,6
M00052,0.4936348116904654,5
M00053,0.3461757364285317,6
M00056,0.4423321407346232,5
M00057,0.4547875324143913,1
M00058,0.4261875079453887,2
M00059,0.4318793150012072,1
M00071,0.29432325567201184,1
M00072,0.12438560560360576,2
M00075,0.45645941093993103,1
M00076,0.4052580681156854,3
M00077,0.40529918348604543,3
M00082,0.37603143243012976,1
M00087,0.3996949029036307,1
M00088,0.3581178402302764,1
M00089,0.1295216232696577,2
M00094,0.32808865735665954,5
M00095,0.36470969424450866,1
M00098,0.1165431652613934,3
M00099,0.18211646746120175,6
M00100,0.37562290348937044,2
M00101,0.3855209536003691,1
M00104,0.14468017238089348,2
M00106,0.1635343884757643,2
M00109,0.36141815595344684,5
M00115,0.3418820439920436,1
M00118,0.3814358140102296,1
M00119,0.3553050092579306,1
M00120,0.4758780317808392,1
M00126,0.4844045454355853,1
M00128,0.44833560526038174,1
M00130,0.15104595686116964,9
M00131,0.476501758325897,1
M00133,0.34639707019539395,1
M00135,0.40783654479214904,3
M00170,0.39535224464167573,1
M00171,0.24760417703427612,2
M00338,0.34134491861697813,1
M00344,0.5136722745878758,1
M00346,0.3261971638173881,1
M00368,0.23770423039244004,2
M00373,0.33980765668935536,1
M00374,0.34840065568131984,1
M00375,0.36110308528293866,1
M00415,0.32765877463483634,1
M00532,0.25914986639525667,2
M00549,0.2094644260371841,6
M00570,0.2679863585540428,2
M00609,0.23770423039244004,2
M00632,0.4620318816918984,1
M00793,0.42390040728194,1
M00844,0.31536693270807636,1
M00845,0.3095691873761341,1
M00849,0.3661137364851315,1
M00854,0.34406182267367375,5
M00855,0.471363709880284,1
M00872,0.42293627881396456,5
M00873,0.38912918357917,1
M00874,0.35348795026491425,1
M00880,0.31319912688597407,1
M00885,0.36544489967487065,1
M00886,0.36544489967487065,1
M00892,0.22006661088030557,2
M00909,0.24755330786981222,2
M00911,0.34547562645609053,1
M00912,0.34207414754809307,1
M00913,0.4211132037085392,2
M00938,0.34024449049446964,6
M00953,0.23770423039244004,2
M00957,0.3405263019873201,1
M00958,0.3525328427664623,1
M00959,0.34761163990396954,1
M00972,0.3435306282008231,1
M00978,0.3127652525356246,1
M00983,0.36079014253682706,1
M00987,0.3103310255776573,1
M00995,0.2953169340429456,2
M01002,0.2953169340429456,2
M01015,0.2205848559551489,2
M01022,0.42390040728194,1
M01023,0.42390040728194,1
M01024,0.42390040728194,1
M01025,0.42390040728194,1
M01026,0.42390040728194,1
M01027,0.42390040728194,1
hsa00010,0.09457232506230764,11
hsa00020,0.326425510148106,1
hsa00030,0.39832866866153116,1
hsa00040,0.32382025815017695,5
hsa00051,0.10473815814803894,4
hsa00052,0.12317844234436216,8
hsa00053,0.47873994780489554,6
hsa00061,0.37710831889663576,1
hsa00062,0.1860067355491562,2
hsa00071,0.21888349489021935,4
hsa00100,0.38141883464903237,2
hsa00120,0.15337163617351998,2
hsa00130,0.43372102277171487,1
hsa00140,0.09438465652593028,10
hsa00220,0.2648587270033214,2
hsa00230,0.11036548650870859,11
hsa00240,0.2707424480659792,7
hsa00250,0.13510388450017494,5
hsa00260,0.26542027119784517,7
hsa00270,0.2681256933704264,2
hsa00280,0.2930610740366759,4
hsa00290,0.2679863585540428,2
hsa00310,0.30531887850469136,5
hsa00330,0.2759846911096107,6
hsa00340,0.3524874002418304,4
hsa00350,0.28533139789188205,7
hsa00360,0.25719354750418655,7
hsa00380,0.15997992481945453,11
hsa00400,0.30367751448094166,2
hsa00410,0.3336247528532078,7
hsa00430,0.14896014900728147,3
hsa00450,0.24570813505840097,2
hsa00480,0.1354045651142236,4
hsa00500,0.10974619203703166,8
hsa00510,0.18176271118376397,7
hsa00512,0.4346841184328503,5
hsa00513,0.12247763036344358,6
hsa00514,0.13336032127522174,6
hsa00515,0.13607638889076698,6
hsa00520,0.10255089512265035,8
hsa00524,0.20950678138509332,2
hsa00531,0.3859404589212778,3
hsa00532,0.4834781423331639,2
hsa00533,0.14699517156114944,3
hsa00534,0.12131756388071831,2
hsa00541,0.15156224181527067,6
hsa00561,0.06443425421454442,9
hsa00562,0.06717266186498459,15
hsa00563,0.11962175929172737,3
hsa00564,0.17970368361348274,9
hsa00565,0.12610363486655665,3
hsa00590,0.20888347134820354,10
hsa00591,0.21489981529014265,6
hsa00592,0.40354406822003575,1
hsa00600,0.08814619441203408,8
hsa00601,0.09026559730656261,3
hsa00603,0.3222172489761071,1
hsa00604,0.43145721512832724,5
hsa00620,0.18348637793836564,4
hsa00630,0.24738694517278048,2
hsa00640,0.35255706562978784,1
hsa00650,0.3681405129949105,2
hsa00670,0.23932530368140287,2
hsa00730,0.2755613247312925,2
hsa00740,0.2344406129338307,3
hsa00760,0.30782076772292494,2
hsa00770,0.1696779018834252,5
hsa00785,0.2501470947199591,2
hsa00790,0.127181404467219,7
hsa00830,0.15859554303107806,13
hsa00900,0.376113797624638,1
hsa00920,0.36458964802178345,1
hsa00970,0.17206456381252228,8
hsa00980,0.38814057357073706,9
hsa00982,0.09096428771681574,9
hsa00983,0.0991994888182418,8
hsa01040,0.1360452676119477,2
hsa01100,0.021382942315347493,59
hsa01200,0.0858432929435907,4
hsa01210,0.2504717465262098,2
hsa01212,0.1379365101721999,2
hsa01230,0.19147197473689373,3
hsa01232,0.19767177887979,8
hsa01240,0.1192709468095192,12
hsa01250,0.1216839039250708,9
hsa01320,0.3103310255776573,1
hsa01521,0.19067123565878194,10
hsa01522,0.05801644038315587,14
hsa01523,0.5115289731899461,5
hsa01524,0.14743302399173083,11
hsa02010,0.37194596267240126,7
hsa03008,0.20256141631689853,8
hsa03010,0.14344867445738818,9
hsa03013,0.1652927892344552,10
hsa03015,0.11195513149716109,11
hsa03018,0.12314719579624031,10
hsa03020,0.34723957268014344,5
hsa03022,0.10384045989882136,8
hsa03030,0.3883090627352328,5
hsa03040,0.25057987256817965,20
hsa03050,0.06760368770125358,9
hsa03060,0.28624626662837827,7
hsa03082,0.06260529738175553,11
hsa03083,0.056116343042707365,14
hsa03250,0.10844624178567921,10
hsa03260,0.39712921797417017,1
hsa03264,0.3870978918584467,1
hsa03265,0.36974681352175465,1
hsa03272,0.37635496651993794,5
hsa03273,0.2609441859606427,2
hsa03320,0.15295807616907592,7
hsa03410,0.13305903205042308,7
hsa03420,0.38800938800900536,5
hsa03430,0.4066869817991748,5
hsa03440,0.18160154438400092,12
hsa03450,0.2163071190013385,3
hsa03460,0.1344878574005463,8
hsa04010,0.1691518174951674,31
hsa04012,0.12176020551699045,12
hsa04014,0.08464529216305944,23
hsa04015,0.30671525192463417,44
hsa04020,0.2669270948948826,86
hsa04022,0.31877017350485576,72
hsa04024,0.0855980876053324,23
hsa04060,0.41372656423724263,13
hsa04061,0.5535711616008494,6
hsa04062,0.392261258139175,36
hsa04064,0.20459851728455528,12
hsa04066,0.045381187566475724,12
hsa04068,0.0825635816550679,10
hsa04070,0.07159197586523215,15
hsa04071,0.3346367111315878,38
hsa04072,0.14716095756527608,17
hsa04080,0.07185406129141798,25
hsa04081,0.37622633122567084,70
hsa04082,0.36183455994947156,65
hsa04110,0.05674685600429031,19
hsa04114,0.05869839051339189,14
hsa04115,0.08573208844216963,8
hsa04120,0.05032928838330732,15
hsa04122,0.38625664621160594,1
hsa04136,0.17994670898444837,9
hsa04137,0.07078626467046296,12
hsa04140,0.1388241782486653,13
hsa04141,0.0633395516761509,14
hsa04142,0.054294898419072236,17
hsa04144,0.12433805892059953,18
hsa04145,0.19017404162647147,11
hsa04146,0.19952667960480788,8
hsa04148,0.05554579947327984,20
hsa04150,0.05094950413757252,12
hsa04151,0.035346252338931156,34
hsa04152,0.09382385198378891,13
hsa04210,0.16634435279049076,12
hsa04211,0.07423770734448272,11
hsa04213,0.11006138578174912,9
hsa04215,0.13159331705295205,8
hsa04216,0.39521687473408473,5
hsa04217,0.08688317231247372,12
hsa04218,0.05629866976936855,26
hsa04260,0.25762963628176805,15
hsa04261,0.2957432491782607,46
hsa04270,0.3813094545130882,62
hsa04310,0.04698766395125466,23
hsa04330,0.23486872181320478,10
hsa04340,0.17281024201380737,11
hsa04350,0.09588778522804761,14
hsa04360,0.10227620836574151,15
hsa04370,0.06052244022377735,12
hsa04371,0.29761031330377696,49
hsa04380,0.06877929919777818,15
hsa04382,0.07901925365693303,20
hsa04390,0.08334566099745652,17
hsa04392,0.1407140483351904,4
hsa04510,0.1272060516745203,17
hsa04512,0.1416192059106524,13
hsa04514,0.22017848740334636,11
hsa04520,0.14954747623542833,11
hsa04530,0.05704212730493175,21
hsa04540,0.38616655792978594,57
hsa04550,0.08403273172114226,12
hsa04610,0.14734345333387774,12
hsa04611,0.32906116758179715,39
hsa04612,0.11786688699858856,7
hsa04613,0.04714995124564898,17
hsa04614,0.19062239265900374,4
hsa04620,0.28432705414716525,7
hsa04621,0.18955163883254686,14
hsa04622,0.14177178467471974,4
hsa04623,0.23495144140312693,9
hsa04625,0.08021571864587555,19
hsa04630,0.15829839169138527,9
hsa04640,0.3146400280868377,7
hsa04650,0.10562613486440967,10
hsa04657,0.1457909554087347,12
hsa04658,0.10680779041524736,11
hsa04659,0.06079460927497869,13
hsa04660,0.12872004403040455,13
hsa04662,0.1252135745561993,13
hsa04664,0.14984028604083574,7
hsa04666,0.05218304891741225,12
hsa04668,0.13144727012384316,10
hsa04670,0.25832497247941855,8
hsa04672,0.3429204735626393,2
hsa04710,0.14360690606836038,3
hsa04713,0.30059584937924605,44
hsa04714,0.13499954801743866,12
hsa04720,0.33459718902010016,38
hsa04721,0.1032427555190931,12
hsa04722,0.18578385328336697,11
hsa04723,0.2855737182569081,47
hsa04724,0.24984723181286564,49
hsa04725,0.3664488479988568,66
